,Jan.,Feb.,3/14/2025,3/21/2025,3/28/2025,4/4/2025,4/11/2025,4/18/2025,4/25/2025,5/2/2025,5/9/2025,5/16/2025,5/23/2025,5/30/2025,6/6/2025,6/13/2025,6/20/2025,6/27/2025,7/4/2025,7/11/2025,7/18/2025,7/25/2025,8/1/2025,8/8/2025,8/15/2025,8/22/2025,8/29/2025,9/5/2025,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,10/31/2025,11/7/2025,11/14/2025,11/21/2025,11/28/2025,12/5/2025,12/12/2025,12/19/2025,12/26/2025,
Total Calls,,,34,24,15,27,24,28,27,25,17,25,43,24,41,25,21,25,15,29,24,15,19,22,24,16,17,5,,,,,,,,,,,,,,,,,
Total Chats ,53,36,26,10,16,22,12,13,41,31,23,21,25,32,21,32,29,,17,34,25,25,38,31,29,16,29,28,,,,,,,,,,,,,,,,,
Total Emails ,,,138,124,115*,138,136,145,121,88,86,127,121,119,87,84,106,114,81,91,103,89,92,111,87,81,83,86,,,,,,,,,,,,,,,,,
Total orders for the week,,,,,,,,,,,,286,324,327,296,461,311,341,233,306,349,282,361,392,281,283,264,250,,,,,,,,,,,,,,,,,
Replacement Orders ,62,39,4,6,6,5,2,8,8,5,7,4,1,3,3,3,1,4,4(1.71%),4(1.3%),3(0.85%),4(1.4%),6(1.6%),6(1.5%),1,6,4,3,,,,,,,,,,,,,,,,,
Replacement total amount ,,,$2162.73,$2201.25,$3275.50,$1322.00,$371.70,$4518.45,$10124.90,$1786.50,$6065.90,$1874.70,$456.10,$312.00,$0.00,$3571.70,$525.00,$6584.10,$2722.90,$1804.20,$999.00,$1741.95,$4884.70,$566.95,$425.00,$7107.50,$504.90,$1416.00,,,,,,,,,,,,,,,,,
Missing From Order,8,1,24,11,6,11,11,10,9,5,10,8,9 (2.7%),7(2.1%),5,11(2.3%),4,17,5(2.1%),10(3.2%),23(6.59%),8(2.8%),9(2.4%),11(2.8%),6,12,9,9,,,,,,,,,,,,,,,,,
Broken ,,,,27,24,20,28,26,19,23,27,16,14(4.3%),13(3.9%),22,27(5.8%),27,28,14(6%),15(4.9%),27(7.7%),25(8.8%),19(5.2%),24(6.1%),16,23,25,22,,,,,,,,,,,,,,,,,
Overshipments ,$36 , $-   ,2,0,0,1,0,3,0,0,0,0,1(0.3%),0,0,0,1,1,4(1.71%),0,0,0,1(0.2%),0,0,1= 173831 ,1,0,,,,,,,,,,,,,,,,,
Pending RMA's,,,9,8,5,3,1,2,1,1,2,2,1,2,4,6,7,5,4,3,2,3,0,3,2,2,4,8,,,,,,,,,,,,,,,,,
Completed RMA's,25,16,8,0,5,5,6,0,16,1,4,1,1,4,4,13,6,14,6,3,0,2,5,2,4,4,5,3,,,,,,,,,,,,,,,,,
Returned to Sender,19,2,3,0,1,0,1,3,1,0,4,1,0,1,0,1,0,0,2(0.85%),1,1,1,1,0,0,1,2,0,,,,,,,,,,,,,,,,,
Total credits given ,,,$4215.30,$1587.94,$1701.30,$1521.85,$1780.15,$2398.67,$1805.30,$1020.69,$1388.95,$2028.26,$904.35,$3954.55,$1932.33,$2656.64,$1423.04,$1923.34,$997.41,$3097.97,$3513.63,$1197.58,$4085.40,$2363.68,$1954.13,$2118.63,$2133.79,$1854.43,,,,,,,,,,,,,,,,,
LL orders ,,,,,33,51,38,23,23,20,23,29,32,33,26,25,21,21,17,17,18,20,19,25,8,14,24,26,,,,,,,,,,,,,,,,,
Total Leaf Trade,,,,1,3,3,2,1,1,2,0,1,1,2,0,0,0,3,1,1,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
Main Stem ,,,,,TBD,,9,2,1,1,2,0,7,3,2,4,0,3,3,3,4,3,3,3,1,6,1,2,,,,,,,,,,,,,,,,,
APEX orders,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,
