WEEK OF ,20-Sep,27-Sep,4-Oct,11-Oct,18-Oct,25-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,1.3.25,1.10.25,1.17.25,1.24.25,1.31.25,2.7.25,2.14.25,2.21.25,2.28.25,3.7.25,3.14.25,3.21.25,3.28.25,4.4.25,4.11.25,4.18.25,4.25.25,5.2.25,5.9.25,5.16.25,5.23.25,5.30.25,6.6.25,6.13.25,6.20.25,6.28.25,7.4.25,7.11.25,7.18.25,7.25.25,8.1.25,8.8.25,8.15.25,8.22.25,8.29.25,9.5.25,9.12.25
EMAILS WEEKLY AND STATS (see below),A30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGAGEMENT % (See below),A30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOTAL BUSINESS WON (total order $, not discount cost) WITH COUPONS","$9,012 "," $45,087.96 "," $1,527.00 ",," $5,814.00 "," $4,402.00 "," $37,848.35 "," $20,031.00 "," $24,496.00 "," $46,757.00 "," $25,547.00 "," $18,571.00 "," $14,769.00 "," $3,415.00 "," $2,316.00 "," $3,868.50 "," $3,014.95 "," $10,911.00 "," $21,989.00 "," $39,972.00 "," $16,636.00 "," $36,815.00 "," $35,912.00 "," $36,295.00 "," $9,811.00 "," $15,711.00 "," $29,740.00 "," $13,601.00 "," $1,406.80 "," $32,450.00 "," $5,802.00 "," $12,176.00 "," $8,467.00 ", $692.90 ," $2,260.00 "," $5,417.55 "," 34,47.54 "," $11,727.00 "," $5,187.00 "," $3,064.00 "," $8,945.55 "," $5,137.90 "," $8,883.00 "," $25,685.00 "," $20,014.16 "," $21,858.00 "," $5,061.70 "," $2,415.37 "," $23,174.00 "," $29,285.00 "," $11,838.54 "," $24,728.61 "
VENDOR MARKETING INCOME*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL MARKETING SPEND*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWTH OF ORGANIC TRUE TRAFFIC - Week to date vs. previous year,10%,19%,54%,,27%,41%,60%,17%,44%,69%,84%,62%,50%,58%,53%,13%,1%,19%,52%,24%,84%,117%,12%,13%,44%,37%,73%,32%,66%,65%,31%,41%,40%,9%,6%,24%,40%,24%,29%,18%,66%,5%,48%,14%,33%,33%,15%,4%,3%,8%,17%,1%
TOTAL TRUE TRAFFIC,6450,6413,8213,,6353,7042,6879,9548,9694,6886,11493,9748,9036,11154,8857,8917,7834,7906,10257,8407,"12,124","12,700","7,820","7,907","9,432","9,828","11,447","9,337","10,363","10,265","7,919","7,377","7,051","6,470","6,043","6,632","6,850","6,397","6,844","6,929","8,890","9,342","8,583","7,710","7,303","7,281",7556,6709,"6,725","6,541","6,575","7,075"
"Total Sales Shipped ""Sum Date"" Invoiced - Dynamics"," $587,461.56 "," $530,477.80 "," $639,376.86 ",," $695,021.85 "," $503,279.40 "," $760,881.39 "," $509,844.39 "," $602,453.27 "," $488,712.11 "," $353,946.74 "," $418,861.40 "," $656,792.30 "," $606,307.00 "," $268,785.00 "," $437,419.23 "," $759,263.75 "," $451,535.44 "," $547,492.57 "," $595,873.93 ","$485,150.01"," $520,083.30 "," $550,314.88 "," $628,042.40 "," $583,677.13 "," $514,438.54 "," $611,781.98 "," $891,383.00 "," $927,955.96 "," $695,397.13 "," $388,943.84 "," $443,846.24 "," $547,493.83 "," $602,368.84 "," $365,688.14 "," $444,086.35 "," $371,970.24 "," $479,902.99 "," $539,449.88 "," $473,142.90 "," $651,614.85 "," $397,531.12 "," $608,813.43 "," $635,405.98 "," $405,732.93 "," $1,143,442.97 "," $715,777.74 "," $401,388.26 "," $460,932.92 "," $417,222.92 "," $290,453.00 "," $673,528.11 "
"ORGANIC BUSINESS DUE TO SEO- SUM minus MSO,  LL, LT, Order, Mainstem"," $272,736.71 "," $343,324.25 "," $381,028.51 ", $-   ," $319,677.85 "," $292,508.48 "," $361,606.52 "," $291,450.18 "," $320,622.48 "," $312,389.13 "," $225,641.00 "," $269,058.43 "," $433,309.69 "," $296,993.09 "," $108,845.87 "," $272,777.78 "," $520,030.78 "," $264,660.99 "," $291,747.24 "," $306,842.39 "," $302,928.59 "," $329,975.08 "," $299,897.92 "," $398,449.29 "," $328,692.25 "," $361,116.20 "," $386,543.46 "," $567,025.00 "," $605,304.96 "," $434,061.44 "," $263,137.87 "," $312,096.72 "," $337,556.31 "," $364,735.51 "," $215,150.82 "," $237,371.75 "," $286,188.90 "," $346,428.46 "," $238,719.19 "," $292,625.00 "," $424,796.73 "," $276,651.92 "," $316,961.09 "," $319,048.72 "," $289,946.13 "," $380,503.87 "," $338,885.61 "," $345,307.90 "," $282,730.30 "," $352,935.12 "," $221,020.92 "," $362,079.95 "
MSO-Curaleaf," $20,746.00 "," $23,181.00 "," $8,973.50 ",," $222,641.10 "," $36,536.38 "," $80,702.72 "," $38,040.45 "," $61,648.74 "," $44,428.62 "," $15,454.48 "," $17,345.52 "," $59,253.40 "," $118,539.22 "," $17,076.48 "," $22,740.00 "," $34,193.17 "," $19,417.45 "," $164,935.88 "," $24,711.91 ","$2,178.00"," $46,568.04 "," $12,957.30 "," $76,140.21 "," $79,028.17 "," $12,264.78 "," $43,104.97 "," $122,570.00 "," $60,737.23 "," $48,032.72 "," $44,073.72 "," $20,920.78 "," $24,870.72 "," $36,758.94 "," $37,180.13 "," $9,017.05 "," $35,651.99 "," $29,473.55 "," $34,231.38 "," $79,437.61 "," $15,187.25 "," $12,779.90 "," $144,193.64 "," $61,868.92 "," $28,497.90 ", $-   ," $43,462.10 "," $14,392.66 "," $26,837.77 "," $9,401.35 "," $30,993.58 "," $97,904.16 "
