WEEK OF ,9/20/2024,9/27/2024,10/4/2024,10/11/2024,10/18/2024,10/25/2024,11/1/2024,11/8/2024,11/15/2024,11/22/2024,11/29/2024,12/6/2024,12/13/2024,12/20/2024,12/27/2024,1/3/2025,1/10/2025,1/17/2025,1/24/2025,1/31/2025,2/7/2025,2/14/2025,2/21/2025,2/28/2025,3/7/2025,3/14/2025,3/21/2025,3/28/2025,4/4/2025,4/11/2025,4/18/2025,4/25/2025,5/2/2025,5/9/2025,5/16/2025,5/23/2025,5/30/2025,6/6/2025,6/13/2025,6/20/2025,6/27/2025,7/4/2025,7/11/2025,7/25/2025,8/8/2025,8/15/2025,8/22/2025,8/29/2025,9/5/2025,9/12/2025,,,
New Tickets Opened  - last 7 days,25,55,32,33 (Breakdown in Note),32 (Breakdown in Note,40 (Breakdown in Note),61 (Breakdown in Note),23 (Breakdown in Note),23 (Breakdown in Note),46(Breakdown in Note,16(Breakdown in Note),27(Breakdown in Note),37(Breakdown in Note),31(Breakdown in Note),16(Breakdown in Note),22(Breakdown in Note),38(Breakdown in Note),35(Breakdown in note),42(Breakdown in Note),43(Breakdown in Note),32(Breakdown in Note),28(Breakdown in Note),30(Breakdown in Note),55(Breakdown in Note),28(Breakdown in Note),26,29,17,18,23,21,26,16,27,27,22,36,23,19,17,22,30,16,38 (14 days),53 (14 days),23,22,20,25,29,Waiting on Customer/Employee,On Hold,Urgent
Total Tickets Closed - last 7 days,27,49,28,33,22,49,54,18,25,49,20,19,31,32,13,24,40,41,37,29,18,33,28,44,69,27,35,12,18,67,21,19,30,13,37,18,27,26,13,19,19,24,32,38 (14 days),38(14 days),32,20,19,24,26,Completed ,In progress,
Strabo Connector - Data Integrity Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 200 on Supporting Doc -Integration Map/Flowchart set up for meeting with David Schmidt next week,Project 200 on Supporting Doc - Priority list set by Keenan more information to be provided in a meeting 8.8.25 at 1 pm.,Project 200 on Supporting Doc - Keenan developing a plan of action to be presented this week to management and subsequently executed.,Project 200 on Supporting Doc - Rescoping a few line items on the SOW this week in lieu of new feature capabilities in Big Commerce.,Project 200 on Supporting Doc - Finalizing expanded SOW from Kevin Farmer this week 9.2.25-9.5.25,Project 200 on Supporting Doc - Finalized SOW with Kevin Farmer's edits to be submitted this week 9.8.25,Project 200 on Supporting Doc - Kevin to present for sign off the final proposal to Phil on Monday 9.15.25 and then submit to Strabo immediately after.,,,
Meet with Alex Mazzei - AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 101 on Supporting Doc - Meeting scheduled for 7.3.25,Project 101 on Supporting Doc - Completed,,,,,,,,,,,
SWAG Product Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 70 on Supporting Doc - Danny to complete over the weekend of 6.28-6.29,Project 70 on Supporting Doc - Completed ,,,,,,,,,,,,
SWAG Process O2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 210 on Supporting Doc - Danny has completed this and is now training relevant staff.   Monitoring and will complete when we know it is sufficient.,Project 210 on Supporting Dock - Ready to Close after status meeting on 8.19.25,"Project 210 on Supporting Doc - Project Completed and all parties are active in production (Rob, Jose, Joe, Diana)",,,,,,
IT Budget/Refinements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 220 on Supporting Doc -  Ready will report on to Phil this week 9.2.25-9.5.25  ,Project 220 on Supporting Doc - Finished - Immediate cost savings already executed and will present to Phil additional recommendations.,Project 220 on Supporting Doc -  Scheduling a Tuesday meeting 9.16.25 with Phil to present results.,,,
Hubspot Cleanup and Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 20 on Supporting Doc - IT brought into loop on Thursday 5.22.25.   On standby to provide any information/assistance necessary to bring this project to completion,Project 20 on Supporting Doc - Kickoff meeting occurred last week and additional rights provided by IT.   Still awaiting results of review or additional IT requests.,Project 20 on Supporting Doc - Instrumental Developer - Garrett working on Flow Diagrams and will set up meeting with Danny and I when complete to progress with project.,Project 20 on Supporting Doc - Quote requested by Mike Metoyer.   Meeting to discuss Audit findings from Instrumental Group on Wednesday - 6/18/25 and further Action items from there.   Danny deliverables of flow chart and data points is whiteboarded and will be ready for Wednesday's meeting in electronic form.,Project 20 on Supporting Doc - Analysis complete and now a potential roadblock in real time updates reported by Instrumental Group.   Mike Metoyer and I to discuss this week 6.23-6.27,Project 20 on Supporting Doc Mike Metoyer wants to interview another integrator and evaluate.,"Project 20 on Supporting Doc - No update from new vendor, Metoyer, or the instrumental group last week - Will follow up with Metoyer this week.",Project 20 on Supporting Doc - Instrumental deal signed and we will proceed with project getting deliverables on IT end as they are requested.,Project 20 on Supporting Doc - Met with Instrumental to kick this back off and are on stand by for deliverables from us as needed.,"Project 20 - Two week max hold put on Instrumental Group.   Meeting on Friday 8.8.25 with relevant parties and  action items on Metz, Mazzei, then Keenan",Project 20 on Supporting Doc - On Hold,"Project 20 on Supporting Doc - Shifted off Instrumental - Mike Metz is working on the initial ""data hygiene"" portion and I will obtain an update from him this week on that progress.",Project 20 - Mike Metz working on Data Cleanup part when ready will present to Keenan for upload.,Project 20 - Mike Metz working on Data Cleanup part when ready will present to Keenan for upload.,Project 20 on Supporting Doc - Mike Metz working on data cleanup will follow up on progress,,,
"Automatic Invoicing - Turn off, Test for Issues, and Turn back On ",,,,,,,,,,,,,,,,,,,,,,Project 4 on Supporting Document - Requested Information from Suraj/Team - Putting On Hold until Accounting is through transition.,Project 4 on Supporting Document - Requested Information from Suraj/Team - Putting On Hold until Accounting is through transition.,Project 4 on Supporting Document - Requested Information from Suraj/Team - Taken off hold and will meet with Dave and Diana over the next few weeks to figure out a plan of action.,Project 4 on Supporting Document - Requested Information from Suraj/Team - Taken off hold and will meet with Dave and Diana over the next few weeks to figure out a plan of action.,* Project 4 on Supporting Document - Running Test with Automatic Invoicing turned on to validate it is working properly and communicate with Phil and Dave with findings to potentially turn back on in production., Project 4 on Supporting Document - Danny turned on Automatic Invoicing in Test last week and the orders that were generated for Avalara Testing are going to be used to test Automatic Invoicing this week.,*  Project 4 on Supporting Document - Testing to continue this week culminating with a meeting with Accounting 4.3 or 4.4., Project 4 on Supporting Document - Met with Accounting.  Have a work session this week to roll work out the kinks for a April 21 rollout.,Project 4 on Supporting Doc.  Met with Accounting on this identified 3 things that need to be fixed before auto invoicing is turned on.   Moved 4.21.25 due date and am completing a multi vendor Action Plan to review with vendors and internal employees that will facilitate what we need done.,* Project 4 on Supporting Doc. Action plan still in progress will be complete by Wednesday 4.23.25 and distributed to the parties that are executing the action plan for each step in the workflow.,"Project 4 on Supporting Doc. Finishing up Action Plan, Delegation this week for a Turn back on of Auto Invoicing May 9, 2025",Project 4 on Supporting Doc - Met with Dave Callejas - He has had a long meeting with Strabo - who is resetting to GAAP principles in our Order to Cash process that were not set up correctly.   Dave said that is a two week process and then we can turn Auto Invoicing back on. Zach checking in daily to promote completion 5.19.25,Project 4 on Supporting Doc - Entire Order to Cash Workflow needs to be analyzed and refined before this can be turned back on.   Heavy work on this during week of 5.12-5.16,"Project 4 on Supporting Doc  Order to Cash Flowchart to be completed this week followed by team meetings with Dave C, Zach, and department leads to make necessary adjustments to process to make Auto Billing a reality again.",Project 4 on Supporting Doc - Order to Cash Visio Workflow not ready yet will completed by 6.29 then team meetings scheduled to get back in a place where we are comfortable turning automatic billing back on.,Project 4 on Supporting Doc - Order to Cash Visio Workflow not ready yet will completed by 6.9.25 then team meetings scheduled to get back in a place where we are comfortable turning automatic billing back on.,"Project 4 on Supporting Doc - Other ""fires"" have delayed this Workflow but continuing to progress on this to meet on it week of 6.16.25",Project 4 on Supporting Doc - Complete Order to Cash Flowchart and Details to be completed week of 6.16 for critical review of each step in the process in the following weeks.  Result will be to turn Auto Billing on as well as optimize our entire O2C workflow.,Project 4 on Supporting Doc - Meet with Diana this week on Order to Cash Workflow and identify innefficiencies is process.,Project 4 on Supporting Doc - Meet with Diana this week 7.2.25 on Order to Cash Workflow and identify innefficiencies is process.,"Project 4 Supporting Doc- Met with Diana M on 7.3 and re-prioritized the needs -  Customer Creation, Payment, and then Auto Invoicing - will work on presentations this week.",Project 4 on Supporting Doc - Will evaluate Customer Creation pain point with Kelleen and Diana week of 7.14 as next phase of project.,Project 4 on Supporting Doc - Working with Strabo next week on Data Integrity which will lead to turning on auto invoicing again.,Project 4 on Supporting Doc - Related to project 200 above meeting with Strabo to  put together sequential action items and goals to be able to turn on Automatic Invoicing  again,Project 4 on Supporting Doc - Related to project 200 above meeting with Strabo to  put together sequential action items and goals to be able to turn on Automatic Invoicing  again,Project 4 on Supporting Doc - Related to project 200 above meeting with Strabo to  put together sequential action items and goals to be able to turn on Automatic Invoicing  again,Project 4 on Supporting Doc -  Related to project 200 above meeting with Strabo to  put together sequential action items and goals to be able to turn on Automatic Invoicing  again ,Project 4 on Supporting Doc - Related to Project 200 - Part of IT initiative in our collaboration with accounting on changes to Dynamics,Project 4 on Supporting Doc - Related to Project 200 - Part of IT initiative in our collaboration with accounting on changes to Dynamics,,,
Strabo - Bank Rec and Financial Reporting,,,,,,,,,,,,,,,,,,Row 14 on Supporting Doc - Addressing and communicating 1.24.25 and 1.27.25,Row 14 on Supporting Doc - Addressing and communicating 1.24.25 and 1.27.25,Row 14 on Supporting Doc - Meeting with Strabo 2.4.25,Project 3 on Supporting Doc - Awaiting test results from Suraj Singh or any communication at all.,Project 3 on Supporting Doc - New Ticket Created 2718 to track process.   Accounting owes Strabo some documentation which may be slowed by transition,"Project 3 on Supporting Doc - New Ticket Created 2718 to track process. Conversations about the ""we owe"" Strabo continue as of 2.24.25.   Still waiting on a few things we owe Strabo.  Pushed deadline due to Accounting transition","Project 3 on Supporting Doc - New Ticket Created 2718 to track process. Conversations about the ""we owe"" Strabo continue as of 3.3.25.    Update to be gathered the week of 3.3-3.7","Project 3 on Supporting Doc - New Ticket Created 2718 to track process. Conversations about the ""we owe"" Strabo continue as of 3.3.25.    Update to be gathered the week of 3.10-3.14","* Project 3 on Supporting Doc - New Ticket Created 2718 to track process. Following up with Diana Maldonado on the ""we-owes"" to Strabo.","Project 3 on Supporting Doc - New Ticket Created 2718 to track progress. Following up with Diana Maldonado on the ""we-owes"" to Strabo.",* Project 3 on Supporting Doc - New Ticket Created 2718 to track progress.  IT will follow up with Diana on 4.4.25,Project 3 on Supporting Doc - Ticket 2718 - Will follow up with Dave between 4.7.25 and 4.11.25 to gauge IT Involvement.,Project 3 on Supporting Doc - Ticket 2718 - Action Plan being put together meeting scheduled with Dave Callejas on Monday morning 4.14 at 10 am with IT to come together and delegate completion.,"* Project 3 on Supporting Doc - Ticket 2718 - Met with Dave/Diana on Monday 4.14 and determined this is in the court of Craig Hascall (Strabo), Diana M and Dave (LuvBuds) changing status to Awaiting response and will follow up 4.21.25 week ",Project 3 on Supporting Doc - Dave Callejas reported on Monday 4.28.25 meeting that they will be in communication about this one with IT.,Project 3 on Supporting Doc - This continues to be monitored as it is being worked on by Strabo and Dave Callejas - Dave continues to keep me updated on it.,Project 3 on Supporting Doc - No Change - Dave Callejas will update me this week,Project 3 on Supporting Doc - Dave Callejas showed me the financial reporting that Strabo and him completed this project is not on IT's radar and will be closed.,,,,,,,,,,,,,,,,,,
